time 0, 4 loaded, numprocesses=1, numholes=1, memusage=4%
time 7, 6 loaded, numprocesses=2, numholes=1, memusage=14%
time 14, 3 loaded, numprocesses=3, numholes=1, memusage=24%
time 21, 5 loaded, numprocesses=4, numholes=1, memusage=24%
time 28, 9 loaded, numprocesses=5, numholes=1, memusage=74%
time 35, 12 loaded, numprocesses=6, numholes=1, memusage=79%
time 42, 14 loaded, numprocesses=4, numholes=2, memusage=77%
time 49, 7 loaded, numprocesses=5, numholes=2, memusage=89%
time 54, 15 loaded, numprocesses=3, numholes=2, memusage=74%
time 58, 19 loaded, numprocesses=3, numholes=3, memusage=62%
time 65, 22 loaded, numprocesses=4, numholes=3, memusage=67%
time 72, 48 loaded, numprocesses=1, numholes=1, memusage=70%
time 79, 59 loaded, numprocesses=2, numholes=1, memusage=92%
time 83, 71 loaded, numprocesses=2, numholes=1, memusage=82%
time 90, 3 loaded, numprocesses=2, numholes=2, memusage=22%
time 97, 4 loaded, numprocesses=3, numholes=2, memusage=26%
time 100, 6 loaded, numprocesses=3, numholes=3, memusage=25%
time 101, 5 loaded, numprocesses=3, numholes=3, memusage=22%
time 104, 9 loaded, numprocesses=3, numholes=2, memusage=60%
time 110, 7 loaded, numprocesses=3, numholes=2, memusage=63%
time 117, 15 loaded, numprocesses=2, numholes=2, memusage=52%
time 120, 19 loaded, numprocesses=2, numholes=1, memusage=50%
time 127, 22 loaded, numprocesses=3, numholes=1, memusage=55%
time 134, 62 loaded, numprocesses=4, numholes=1, memusage=65%
time 139, 5 loaded, numprocesses=4, numholes=2, memusage=61%
time 143, 9 loaded, numprocesses=3, numholes=2, memusage=61%
time 150, 19 loaded, numprocesses=4, numholes=2, memusage=71%
time 200, 88 loaded, numprocesses=1, numholes=1, memusage=100%
time 800, 101 loaded, numprocesses=1, numholes=1, memusage=100%
time 1800, 101 loaded, numprocesses=1, numholes=1, memusage=100%
time 3800, simulation finished.
