time 0, 4 loaded, numprocesses=1, numholes=1, memusage=2%
time 1, 6 loaded, numprocesses=2, numholes=1, memusage=7%
time 5, 3 loaded, numprocesses=3, numholes=1, memusage=12%
time 7, 5 loaded, numprocesses=4, numholes=1, memusage=12%
time 10, 9 loaded, numprocesses=5, numholes=1, memusage=37%
time 11, 12 loaded, numprocesses=6, numholes=1, memusage=40%
time 15, 14 loaded, numprocesses=7, numholes=1, memusage=51%
time 16, 7 loaded, numprocesses=8, numholes=1, memusage=56%
time 18, 15 loaded, numprocesses=9, numholes=1, memusage=76%
time 19, 19 loaded, numprocesses=10, numholes=1, memusage=81%
time 20, 22 loaded, numprocesses=11, numholes=1, memusage=84%
time 30, 48 loaded, numprocesses=7, numholes=2, memusage=82%
time 31, 3 loaded, numprocesses=8, numholes=2, memusage=87%
time 32, 4 loaded, numprocesses=9, numholes=2, memusage=89%
time 33, 5 loaded, numprocesses=10, numholes=2, memusage=89%
time 34, 6 loaded, numprocesses=11, numholes=2, memusage=94%
time 35, 9 loaded, numprocesses=8, numholes=2, memusage=80%
time 36, 7 loaded, numprocesses=9, numholes=2, memusage=85%
time 37, 12 loaded, numprocesses=10, numholes=2, memusage=88%
time 38, 14 loaded, numprocesses=10, numholes=2, memusage=94%
time 39, 15 loaded, numprocesses=9, numholes=3, memusage=76%
time 40, 59 loaded, numprocesses=10, numholes=3, memusage=87%
time 41, 71 loaded, numprocesses=10, numholes=3, memusage=88%
time 42, 19 loaded, numprocesses=11, numholes=3, memusage=93%
time 43, 22 loaded, numprocesses=12, numholes=3, memusage=95%
time 44, 48 loaded, numprocesses=7, numholes=3, memusage=90%
time 45, 3 loaded, numprocesses=8, numholes=3, memusage=95%
time 46, 4 loaded, numprocesses=9, numholes=3, memusage=97%
time 47, 5 loaded, numprocesses=10, numholes=3, memusage=97%
time 48, 6 loaded, numprocesses=10, numholes=3, memusage=91%
time 49, 7 loaded, numprocesses=11, numholes=3, memusage=97%
time 50, 9 loaded, numprocesses=10, numholes=4, memusage=91%
time 51, 12 loaded, numprocesses=11, numholes=4, memusage=94%
time 52, 14 loaded, numprocesses=8, numholes=3, memusage=56%
time 53, 15 loaded, numprocesses=9, numholes=3, memusage=76%
time 54, 59 loaded, numprocesses=9, numholes=3, memusage=82%
time 55, 19 loaded, numprocesses=10, numholes=3, memusage=87%
time 56, 22 loaded, numprocesses=11, numholes=3, memusage=89%
time 57, 48 loaded, numprocesses=5, numholes=4, memusage=74%
time 58, 71 loaded, numprocesses=6, numholes=4, memusage=79%
time 59, 3 loaded, numprocesses=7, numholes=4, memusage=84%
time 60, 4 loaded, numprocesses=8, numholes=4, memusage=86%
time 61, 5 loaded, numprocesses=9, numholes=4, memusage=86%
time 62, 6 loaded, numprocesses=9, numholes=4, memusage=71%
time 63, 7 loaded, numprocesses=10, numholes=4, memusage=77%
time 64, 9 loaded, numprocesses=7, numholes=4, memusage=49%
time 65, 12 loaded, numprocesses=8, numholes=4, memusage=51%
time 66, 14 loaded, numprocesses=9, numholes=4, memusage=62%
time 67, 15 loaded, numprocesses=9, numholes=4, memusage=76%
time 68, 19 loaded, numprocesses=10, numholes=4, memusage=81%
time 69, 22 loaded, numprocesses=11, numholes=4, memusage=84%
time 70, 48 loaded, numprocesses=3, numholes=3, memusage=43%
time 71, 59 loaded, numprocesses=4, numholes=3, memusage=54%
time 72, 71 loaded, numprocesses=4, numholes=2, memusage=57%
time 73, 3 loaded, numprocesses=5, numholes=2, memusage=62%
time 74, 4 loaded, numprocesses=6, numholes=2, memusage=64%
time 75, 5 loaded, numprocesses=7, numholes=2, memusage=64%
time 76, 6 loaded, numprocesses=8, numholes=2, memusage=69%
time 77, 7 loaded, numprocesses=9, numholes=2, memusage=75%
time 78, 9 loaded, numprocesses=8, numholes=2, memusage=60%
time 79, 12 loaded, numprocesses=9, numholes=2, memusage=62%
time 80, 14 loaded, numprocesses=9, numholes=3, memusage=62%
time 81, 15 loaded, numprocesses=9, numholes=3, memusage=76%
time 82, 19 loaded, numprocesses=10, numholes=3, memusage=81%
time 83, 48 loaded, numprocesses=5, numholes=3, memusage=74%
time 84, 71 loaded, numprocesses=5, numholes=3, memusage=77%
time 85, 3 loaded, numprocesses=5, numholes=3, memusage=71%
time 86, 4 loaded, numprocesses=6, numholes=3, memusage=73%
time 87, 5 loaded, numprocesses=7, numholes=3, memusage=73%
time 88, 6 loaded, numprocesses=8, numholes=3, memusage=78%
time 89, 7 loaded, numprocesses=9, numholes=3, memusage=84%
time 90, 9 loaded, numprocesses=6, numholes=3, memusage=44%
time 91, 15 loaded, numprocesses=7, numholes=3, memusage=64%
time 92, 19 loaded, numprocesses=8, numholes=3, memusage=69%
time 93, 48 loaded, numprocesses=3, numholes=3, memusage=60%
time 94, 4 loaded, numprocesses=4, numholes=3, memusage=62%
time 95, 5 loaded, numprocesses=5, numholes=3, memusage=62%
time 96, 6 loaded, numprocesses=6, numholes=3, memusage=67%
time 97, 7 loaded, numprocesses=7, numholes=3, memusage=73%
time 98, 9 loaded, numprocesses=7, numholes=3, memusage=78%
time 99, 71 loaded, numprocesses=8, numholes=3, memusage=84%
time 100, 15 loaded, numprocesses=7, numholes=4, memusage=64%
time 101, 19 loaded, numprocesses=8, numholes=4, memusage=69%
time 102, 48 loaded, numprocesses=4, numholes=2, memusage=66%
time 103, 62 loaded, numprocesses=5, numholes=2, memusage=71%
time 104, 4 loaded, numprocesses=6, numholes=2, memusage=73%
time 105, 5 loaded, numprocesses=7, numholes=2, memusage=73%
time 106, 6 loaded, numprocesses=8, numholes=2, memusage=78%
time 107, 7 loaded, numprocesses=9, numholes=2, memusage=84%
time 108, 9 loaded, numprocesses=6, numholes=3, memusage=43%
time 109, 15 loaded, numprocesses=7, numholes=3, memusage=63%
time 110, 19 loaded, numprocesses=8, numholes=3, memusage=68%
time 111, 48 loaded, numprocesses=4, numholes=1, memusage=85%
time 112, 71 loaded, numprocesses=5, numholes=1, memusage=91%
time 113, 4 loaded, numprocesses=6, numholes=1, memusage=93%
time 114, 5 loaded, numprocesses=7, numholes=1, memusage=93%
time 115, 6 loaded, numprocesses=8, numholes=1, memusage=98%
time 116, 7 loaded, numprocesses=8, numholes=2, memusage=79%
time 117, 62 loaded, numprocesses=8, numholes=3, memusage=82%
time 118, 9 loaded, numprocesses=8, numholes=3, memusage=87%
time 119, 15 loaded, numprocesses=7, numholes=3, memusage=67%
time 120, 19 loaded, numprocesses=8, numholes=3, memusage=72%
time 121, 48 loaded, numprocesses=6, numholes=1, memusage=96%
time 122, 5 loaded, numprocesses=7, numholes=1, memusage=96%
time 123, 6 loaded, numprocesses=7, numholes=2, memusage=95%
time 124, 71 loaded, numprocesses=7, numholes=2, memusage=96%
time 125, 7 loaded, numprocesses=7, numholes=2, memusage=77%
time 126, 62 loaded, numprocesses=8, numholes=2, memusage=82%
time 127, 9 loaded, numprocesses=8, numholes=2, memusage=87%
time 128, 15 loaded, numprocesses=7, numholes=2, memusage=67%
time 129, 19 loaded, numprocesses=8, numholes=2, memusage=72%
time 130, 48 loaded, numprocesses=3, numholes=2, memusage=60%
time 131, 5 loaded, numprocesses=4, numholes=2, memusage=61%
time 132, 6 loaded, numprocesses=5, numholes=2, memusage=65%
time 133, 7 loaded, numprocesses=6, numholes=2, memusage=71%
time 134, 9 loaded, numprocesses=6, numholes=2, memusage=76%
